customer_id,Name,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status
fffe4300490044003600300030003800,Pattie Morrisey,18,F,XW0DQ7H,Village,Platinum Membership,17-08-2017,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,16:08:02,17,300.63,53005.25,17,781.75,Yes,Yes,No,Not Applicable
fffe43004900440032003100300035003700,Traci Peery,32,F,5K0N3X1,City,Premium Membership,28-08-2017,?,CID21329,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:38:13,16,306.34,12838.38,10,,Yes,No,Yes,Solved
fffe4300490044003100390032003600,Merideth Mcmeen,44,F,1F2TCL3,Town,No Membership,11-11-2016,Yes,CID12313,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:53:21,14,516.16,21027,22,500.69,No,Yes,Yes,Solved in Follow-up
fffe43004900440036003000330031003600,Eufemia Cardwell,37,M,VJGJ33N,City,No Membership,29-10-2016,Yes,CID3793,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:57:50,11,53.27,25239.56,6,567.66,No,Yes,Yes,Unsolved
fffe43004900440031003900350030003600,Meghan Kosak,31,F,SVZXCWB,City,No Membership,12-09-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,15:46:44,20,113.13,24483.66,16,663.06,No,Yes,Yes,Solved
fffe43004900440036003300320035003300,Leslie Browder,13,M,PSG1LGF,City,Gold Membership,08-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,06:46:07,23,433.62,13884.77,24,722.27,Yes,No,Yes,Unsolved
fffe43004900440031003100360037003900,Bridget Balog,21,M,R3CX1EA,Town,Gold Membership,19-03-2015,Yes,CID24708,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:40:04,10,55.38,8982.5,28,756.21,Yes,No,Yes,Solved in Follow-up
fffe4300490044003800300035003800,Herma Torgeson,42,M,4UJ1551,,No Membership,12-07-2016,?,CID56614,Credit/Debit Card Offers,Both,Fiber_Optic,07:52:43,19,429.11,44554.82,24,568.08,No,Yes,Yes,Unsolved
fffe43004900440033003300330032003200,Pattie Helmers,44,M,0481QNQ,Village,Silver Membership,14-12-2016,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,06:50:10,15,191.07,18362.31,20,,Yes,No,Yes,Solved in Follow-up
fffe43004900440032003000340038003300,Shaquana Leech,45,F,ZHP4MCR,Town,No Membership,30-11-2016,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,19:10:16,10,97.31,19244.16,28,706.23,No,Yes,Yes,No Information Available
fffe43004900440035003200390031003400,Mariana Hakes,25,F,OKZ6GDD,Village,Basic Membership,22-05-2016,Yes,CID19275,Gift Vouchers/Coupons,Both,Wi-Fi,05:57:20,14,570.23,35119.93,8,699.7,Yes,Yes,No,Not Applicable
fffe4300490044003500380036003900,Polly Medders,60,M,KPI9DD5,City,Gold Membership,13-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:56:11,14,55.53,41672.02,33.02434314,798.12,Yes,No,No,Not Applicable
fffe43004900440032003600350039003300,Jong Vincelette,11,M,G2FTZTL,Town,No Membership,31-01-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,04:42:50,13,41.09,44007.18,18,608.26,Yes,No,Yes,Unsolved
fffe43004900440033003700320038003200,Jenni Gallaway,34,M,S71G75R,City,Basic Membership,07-12-2016,Yes,CID10856,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,08:35:05,10,89.76,21318.19,6,,No,Yes,No,Not Applicable
fffe43004900440033003600310031003900,Dorothy Taul,40,M,QAL9ZY2,City,Premium Membership,19-11-2016,No,xxxxxxxx,Without Offers,?,Fiber_Optic,21:01:43,20,100.59,14842.62,26,,No,Yes,No,Not Applicable
fffe43004900440035003100340033003400,Stephane Pullum,16,F,YTBUOEE,Town,Basic Membership,09-07-2017,?,CID35062,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13:48:22,-999,30.14,18792.31,7,141.5132013,Yes,No,Yes,Unsolved
fffe4300490044003100300039003400,Laree Lachowicz,57,F,RZ6TPTR,City,No Membership,27-01-2016,No,xxxxxxxx,Without Offers,?,Wi-Fi,20:58:28,5,333.34,47241.32,8,,Yes,Yes,Yes,Solved in Follow-up
fffe43004900440032003400320030003600,Tara Wilburn,11,M,3GHN9RC,Town,Silver Membership,02-01-2017,Yes,CID22930,Gift Vouchers/Coupons,?,Wi-Fi,03:42:26,12,275.13,29072.86,26,733.97,Yes,No,No,Not Applicable
fffe4300490044003200380034003700,Bulah Pietrzak,39,M,DYK6E24,Town,No Membership,01-11-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15:39:05,9,241.74,33170.16,6,551.11,Yes,No,Yes,No Information Available
fffe43004900440034003200330033003200,Mei Corum,45,M,XYB1CDG,City,Premium Membership,03-02-2016,No,xxxxxxxx,Without Offers,?,Mobile_Data,11:46:54,14,31.15,66982.61,8,164.800769,Yes,No,Yes,Unsolved
fffe4300490044003700340034003400,Alethia Chauncey,33,M,7L21LW8,Village,No Membership,03-12-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,18:50:35,15,49.86,44289.97,25,703.96,Yes,No,No,Not Applicable
